sequencia,indice_no_operacional,id_projeto,nome,ipi_final,posicao_ipi_final,latitude,longitude,snap_max_m
1,32,6606.42-35,Delegacia e Unidade Operacional da Polícia Rodoviária Federal em Balneário Camboriú/SC,60.0,91.0,-27.0114800228983,-48.61459,11.73039878
2,6,33621.42-09,CR 890011/2019 - CONSTRUÇÃO DE CALÇADÃO DE ACESSO A PRAÇA DO PESCADOR NO BAIRRO DA BARRA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC.,73.33333333333333,18.0,-27.00773,-48.60363,2.46979115
3,2,34216.42-00,CR 909543/2020 - REFORMA E REVITALIZAÇÃO DE ACESSO A ORLA DA AVENIDA ATLÂNTICA NO MUNICÍPIO DE BALNEÁRIO CAMBORIÚ/SC,80.0,3.0,-26.98777,-48.63172,15.15977981
4,9,17855.42-09,Qualificação viária - adequação de obra de arte e adequação de vias - no município de Balneário Piçarras,66.66666666666667,21.0,-26.78037,-48.68259,32.12955421
5,25,15027.42-76,Campo de Futebol Municipal Quinca Ludo,66.66666666666667,48.0,-26.77818,-48.68263,74.89087214
6,28,17824.42-50,Qualificação viária no município de Balneário Piçarras - Bairro Itacolomi,60.0,53.0,-26.73785,-48.69377,11.79694543
7,31,5655.42-49,Construção da quadra poliesportiva coberta do IFC Campus Camboriú.,53.333333333333336,157.0,-27.0165566960324,-48.6576739076863,38.37252613
8,30,99255.42-58,PARQUE LINEAR COM BACIA DE DETENCAO   RIO CAMBORIU EM CAMBORIU  SC,53.333333333333336,257.0,-27.02645,-48.64999,3.678300181
