id_projeto,situacao,score_temporal_v2,desc_nome,sistema_resp,natureza_intervencao,especie_intervencao,atraso_observavel_dias,faixa_temporal_v2,score_financeiro_v2,valor_planejado_utilizavel_total,financeiro_comparavel_v2,faixa_financeira_v2,motivo_financeiro,score_fisico_v2,fisico_calculavel_v2,motivo_calculabilidade,percentual_numerico,progresso_linear_esperado,score_situacao_v2,fisico_esperado_v2,tem_temporal,tem_situacao,tem_financeiro,tem_fisico,qtd_componentes_esperados,qtd_componentes_disponiveis,ipi_completo_v2,motivo_completude,ipi_v2,ipi_v2_exibicao,prioridade_A_ipi_v2_estrito,calculavel_A,calculavel_B,prioridade_B_3_componentes,calculavel_C,prioridade_C_2_componentes,tem_temporal_final,tem_situacao_final,tem_financeiro_final,ipi_final_calculavel,ipi_final,contrib_temporal_ipi,contrib_situacao_ipi,contrib_financeiro_ipi,ipi_final_por_pesos,motivo_ipi_final,sinal_fisico_disponivel,posicao_ipi_final,qtd_pins,qtd_pins_coordenada_completa,qtd_pins_validos_sc,qtd_pins_invalidos_ou_fora_sc,qualidade_localizacao,tem_ponto_representativo,indice_pin_representativo,latitude_representativa,longitude_representativa,soma_distancias_medoide_km,apto_localizacao_rota,id_local,id_tarefa,tempo_servico_min,premio_ipi,qtd_projetos_coordenada,coordenada_exclusiva,coordenada_compartilhada,apta_rota_automatica_v1,classe_uso_espacial_v1
12670.42-00,Cadastrada,100,CTO nº 960/2010 - EVTEA - BR-282/SC,CIPI,Estudo,Ampliação,1218.0,acima_de_934_dias,100.0,7731891.3,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,20,1,1,1,0,localizacao_valida,True,0.0,-27.5866979362084,-48.61643622,0.0,True,L0770,P_12670.42-00,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
17855.42-09,Cadastrada,100,Qualificação viária - adequação de obra de arte e adequação de vias - no município de Balneário Piçarras,Transferegov.br,Obra,Construção,975.0,acima_de_934_dias,100.0,7582774.0,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,21,6,6,6,0,localizacao_valida,True,3.0,-26.78037,-48.68259,1.986492795943016,True,L2245,P_17855.42-09,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
2188.42-70,Cadastrada,100,Edifício Sede da DRF/JOI,CIPI,Obra,Construção,1748.0,acima_de_934_dias,100.0,11948635.66,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,22,1,1,1,0,localizacao_valida,True,0.0,-26.3061391890651,-48.8326443538611,0.0,True,L2691,P_2188.42-70,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
2209.42-30,Cadastrada,100,Implantação de solução de radioterapia no Hospital Universitário Santa Terezinha C68,CIPI,Obra,Construção,1802.0,acima_de_934_dias,100.0,9042276.91,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,23,1,1,1,0,localizacao_valida,True,0.0,-27.1716120648621,-51.5064364501953,0.0,True,L1395,P_2209.42-30,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
2301.42-01,Cadastrada,100,00 01055/2013 - BR-470/SC - Gestão Ambiental,CIPI,Outros,Construção,1757.0,acima_de_934_dias,100.0,25286140.14,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,24,1,1,1,0,localizacao_valida,True,0.0,-26.8914945924456,-48.988771892851,0.0,True,L2034,P_2301.42-01,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
2320.42-90,Cadastrada,100,00 00086/2014 - BR-280/SC - EXECUÇÃO DE CONSULTORIA ESPECIALIZADA EM GESTÃO AMBIENTAL,CIPI,Outros,Ampliação,1677.0,acima_de_934_dias,100.0,56743244.71,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,25,1,1,1,0,localizacao_valida,True,0.0,-26.4485619375592,-48.8348502311734,0.0,True,L2560,P_2320.42-90,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
24598.42-45,Cadastrada,100,Novo Bloco de Salas de Aula (seriado),CIPI,Estudo,Construção,975.0,acima_de_934_dias,100.0,7820944.65,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,26,1,1,1,0,localizacao_valida,True,0.0,-26.2496112682818,-49.3500382758543,0.0,True,L2760,P_24598.42-45,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
3118.42-52,Cadastrada,100,Antiga Alfândega de Florianópolis/SC,CIPI,Obra,Recuperação,1717.0,acima_de_934_dias,100.0,5296077.87,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,28,1,1,1,0,localizacao_valida,True,0.0,-27.5974900238977,-48.55194,0.0,True,L0717,P_3118.42-52,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
329.42-64,Cadastrada,100,Manutenção rodoviária na malha federal sob administração do DNIT no estado de SC.,CIPI,Projeto de Investimento em Infraestrutura,,1703.0,acima_de_934_dias,100.0,132250000.0,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,29,1,1,1,0,localizacao_valida,True,0.0,-27.5971456627659,-50.0151856532332,0.0,True,L0725,P_329.42-64,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
5148.42-57,Cadastrada,100,RDC nº 10/2021 - Construção de nova edificação (prédio) destinada às atividades de pesquisa e inovação do Câmpus Florianópolis do IFSC.,CIPI,Projeto,Construção,1306.0,acima_de_934_dias,100.0,6055368.88,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,31,1,1,1,0,localizacao_valida,True,0.0,-27.5939235590249,-48.5428439113937,0.0,True,L0747,P_5148.42-57,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
5867.42-00,Cadastrada,100,"Execução de Obras de Restauração e Requalificação da Fortaleza de Santo Antônio de Ratones, na Ilha de Ratones Grande, Florianópolis/SC",CIPI,Obra,Recuperação,1388.0,acima_de_934_dias,100.0,6826570.91,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,32,1,1,1,0,localizacao_valida,True,0.0,-27.472180023684,-48.56198,0.0,True,L0925,P_5867.42-00,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
6323.42-42,Cadastrada,100,Obra de Requalificação da Fortaleza de São José da Ponta Grossa,CIPI,Obra,Recuperação,1466.0,acima_de_934_dias,100.0,6260539.06,True,acima_P90,05_com_investimento_utilizavel,,,,,,0,False,True,True,True,False,3,3,True,completo,66.66666666666667,66.67,66.66666666666667,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,33.33333333333333,0.0,33.33333333333333,66.66666666666666,calculavel,False,33,1,1,1,0,localizacao_valida,True,0.0,-27.4309500236137,-48.5178,0.0,True,L0950,P_6323.42-42,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
14274.42-90,Inacabada,80,Pavimentação da rua Expedicionario João Liebel Sobrinho,Transferegov.br,Obra,Construção,608.0,493_a_934_dias,40.0,247389.43,True,P25_a_P50,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,0.0,,80,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,66.66666666666667,True,80.0,True,True,True,True,66.66666666666667,26.666666666666664,26.666666666666664,13.333333333333332,66.66666666666666,calculavel,False,34,1,1,1,0,localizacao_valida,True,0.0,-26.13739,-49.82852,0.0,True,L2823,P_14274.42-90,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
24840.42-02,Inacabada,80,Pavimentação de via - Rua Emilio Jacobsen,Transferegov.br,Obra,Construção,516.0,493_a_934_dias,40.0,268194.19,True,P25_a_P50,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,100.0,,80,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,66.66666666666667,True,80.0,True,True,True,True,66.66666666666667,26.666666666666664,26.666666666666664,13.333333333333332,66.66666666666666,calculavel,False,35,1,1,1,0,localizacao_valida,True,0.0,-27.13478,-49.54005,0.0,True,L1482,P_24840.42-02,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
7921.42-02,Inacabada,80,Pavimentação com pedras irregulares Linha São Roque,Transferegov.br,Obra,Construção,608.0,493_a_934_dias,40.0,303090.77,True,P25_a_P50,05_com_investimento_utilizavel,,False,04_inicio_e_fim_ausentes,95.34,,80,True,True,True,True,False,4,3,False,ausente_fisico,,,,False,True,66.66666666666667,True,80.0,True,True,True,True,66.66666666666667,26.666666666666664,26.666666666666664,13.333333333333332,66.66666666666666,calculavel,False,36,1,1,1,0,localizacao_valida,True,0.0,-27.06476,-51.20554,0.0,True,L1643,P_7921.42-02,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
1315.42-49,Em execução,80,16 00503/2019,CIPI,Obra,Construção,853.0,493_a_934_dias,100.0,13623404.37,True,acima_P90,05_com_investimento_utilizavel,30.0,True,08_calculavel,70.0,100.0,20,True,True,True,True,True,4,4,True,completo,57.5,57.5,57.5,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,26.666666666666664,6.666666666666666,33.33333333333333,66.66666666666666,calculavel,True,37,1,1,1,0,localizacao_valida,True,0.0,-27.25507636,-49.94686193,0.0,True,L1224,P_1315.42-49,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
3180.42-51,Em execução,80,16 00534/2014,SUPRA,Obra,Construção,729.0,493_a_934_dias,100.0,14498930.41,True,acima_P90,05_com_investimento_utilizavel,21.0,True,08_calculavel,79.0,100.0,20,True,True,True,True,True,4,4,True,completo,55.25,55.25,55.25,True,True,66.66666666666667,True,50.0,True,True,True,True,66.66666666666667,26.666666666666664,6.666666666666666,33.33333333333333,66.66666666666666,calculavel,True,39,1,1,1,0,localizacao_valida,True,0.0,-28.80719879,-49.90713465,0.0,True,L0135,P_3180.42-51,45.0,66.66666666666667,1,True,False,True,rota_automatica_v1
