indice_no,id_no,tipo_no,id_projeto,nome,latitude,longitude,ipi_final,posicao_ipi_final,posicao_shortlist_227A,snap_source_m,snap_destination_m,snap_max_m,classe_snap,nome_via_source,nome_via_destination,apto_matriz_operacional,motivo_qualidade_operacional
16,P_5867.42-00,projeto,5867.42-00,"Execução de Obras de Restauração e Requalificação da Fortaleza de Santo Antônio de Ratones, na Ilha de Ratones Grande, Florianópolis/SC",-27.472180023684,-48.56198,66.66666666666667,32.0,16,2545.379974,2545.379974,2545.379974,acima_2km,Rodovia Rafael da Rocha Pires,Rodovia Rafael da Rocha Pires,False,revisao_snap_acima_500m
73,P_22176.42-57,projeto,22176.42-57,Sistema de Abastecimento de Água (SAA) Aldeia Itanhaém (Morro da Palha),-27.2902399630152,-48.643452685253,46.66666666666666,293.0,73,798.7922363,798.7922363,798.7922363,500m_a_2km,Rodovia José Elias,Rodovia José Elias,False,revisao_snap_acima_500m
